,Isolate,ETHIONAMIDE
0,site.06.subj.06TB_0115.lab.06MIL1028.iso.1,0.728301465511322
1,site.06.subj.06TB_0434.lab.06MIL1025.iso.1,0.7265777587890625
2,site.06.subj.SSM_0098-14.lab.06MIL0016.iso.1,0.7269245982170105
3,site.06.subj.06TB_0428.lab.06MIL1019.iso.1,0.30769971013069153
4,site.06.subj.06TB_0390.lab.06MIL0986.iso.1,0.7269245982170105
5,site.06.subj.06TB_0399.lab.06MIL0990.iso.1,0.7271327972412109
6,site.06.subj.06TB_0293.lab.06MIL0884.iso.1,0.7265777587890625
7,site.06.subj.06TB_0290.lab.06MIL0881.iso.1,0.7269245982170105
8,site.06.subj.06TB_0274.lab.06MIL0865.iso.1,0.7268037796020508
9,site.06.subj.06TB_0272.lab.06MIL0863.iso.1,0.22531414031982422
10,site.06.subj.06TB_0265.lab.06MIL0856.iso.1,0.22483354806900024
11,site.06.subj.06TB_0264.lab.06MIL0855.iso.1,0.7269245982170105
12,site.06.subj.06TB_0260.lab.06MIL0851.iso.1,0.9383624792098999
13,site.06.subj.SGD_0046-14.lab.06MIL0850.iso.1,0.22531414031982422
14,site.06.subj.RLH_0332-14.lab.06MIL0451.iso.1,0.7269245982170105
15,site.06.subj.MHL_0242-14.lab.06MIL0449.iso.1,0.7269245982170105
16,site.06.subj.MHL_0234-14.lab.06MIL0443.iso.1,0.7269245982170105
17,site.06.subj.JHL_0101-14.lab.06MIL0442.iso.1,0.7268913388252258
18,site.06.subj.BVH_0794-R.lab.06MIL0438.iso.1,0.7272753119468689
19,site.06.subj.JHL_0100-14.lab.06MIL0428.iso.1,0.7269923686981201
20,site.06.subj.NHM_0233-14.lab.06MIL0426.iso.1,0.7270556092262268
21,site.06.subj.SGD_0067-14.lab.06MIL0424.iso.1,0.7276699542999268
22,site.06.subj.NHM_0310-14.lab.06MIL0423.iso.1,0.7269245982170105
23,site.06.subj.JHL_0096-14.lab.06MIL0419.iso.1,0.7269245982170105
24,site.06.subj.NHM_0313-14.lab.06MIL0413.iso.1,0.7269245982170105
25,site.06.subj.RLH_0708-R.lab.06MIL0403.iso.1,0.22531414031982422
26,site.06.subj.SZH_0047-14.lab.06MIL0397.iso.1,0.7269245982170105
27,site.06.subj.MHL_0230-14.lab.06MIL0396.iso.1,0.7269245982170105
28,site.06.subj.BVH_0038-14.lab.06MIL0381.iso.1,0.22531414031982422
29,site.06.subj.PIMS_0056-14.lab.06MIL0374.iso.1,0.7269245982170105
30,site.06.subj.RLH_0315-14.lab.06MIL0370.iso.1,0.7269245386123657
31,site.06.subj.NHM_0295-14.lab.06MIL0369.iso.1,0.7242196202278137
32,site.06.subj.SGD_0063-14.lab.06MIL0365.iso.1,0.7269245982170105
33,site.06.subj.NHM_0287-14.lab.06MIL0363.iso.1,0.7269245982170105
34,site.06.subj.MHL_0222-14.lab.06MIL0359.iso.1,0.7269245982170105
35,site.06.subj.SZH_0042-14.lab.06MIL0358.iso.1,0.7276079654693604
36,site.06.subj.RLH_0312-14.lab.06MIL0354.iso.1,0.43400803208351135
37,site.06.subj.RLH_0313-14.lab.06MIL0353.iso.1,0.7269245982170105
38,site.06.subj.RLH_0309-14.lab.06MIL0350.iso.1,0.43400803208351135
39,site.06.subj.NHM_0290-14.lab.06MIL0347.iso.1,0.7269245982170105
40,site.06.subj.SZH_0060-14.lab.06MIL0332.iso.1,0.7269245982170105
41,site.06.subj.ATH_0089-14.lab.06MIL0323.iso.1,0.7269245982170105
42,site.06.subj.SSM_0149-14.lab.06MIL0322.iso.1,0.7270475625991821
43,site.06.subj.NHM_0284-14.lab.06MIL0319.iso.1,0.7269245982170105
44,site.06.subj.SSM_0152-14.lab.06MIL0317.iso.1,0.7271201610565186
45,site.06.subj.ATH_0088-14.lab.06MIL0309.iso.1,0.7269245982170105
46,site.06.subj.SSM_0155-14.lab.06MIL0307.iso.1,0.7269245982170105
47,site.06.subj.SSM_0158-14.lab.06MIL0304.iso.1,0.7269245982170105
48,site.06.subj.PIMS_0037-14.lab.06MIL0293.iso.1,0.7269245982170105
49,site.06.subj.JHL_0068-14.lab.06MIL0291.iso.1,0.7269245982170105
50,site.06.subj.JHL_0069-14.lab.06MIL0290.iso.1,0.16449150443077087
51,site.06.subj.SGD_0028-14.lab.06MIL0285.iso.1,0.7269245982170105
52,site.06.subj.RLH_0304-14.lab.06MIL0282.iso.1,0.7218877077102661
53,site.06.subj.RLH_0284-14.lab.06MIL0279.iso.1,0.7251598834991455
54,site.06.subj.MHL_0099-13.lab.06MIL0277.iso.1,0.7269245982170105
55,site.06.subj.RLH_0292-14.lab.06MIL0276.iso.1,0.7269245982170105
56,site.06.subj.SSM_0146-14.lab.06MIL0270.iso.1,0.7269245982170105
57,site.06.subj.JHL_0061-14.lab.06MIL0267.iso.1,0.7269245982170105
58,site.06.subj.BVH_0018-14.lab.06MIL0263.iso.1,0.7251598834991455
59,site.06.subj.SGD_0061-14.lab.06MIL0262.iso.1,0.7269245982170105
