,Isolate,KANAMYCIN
0,site.06.subj.06TB_0115.lab.06MIL1028.iso.1,0.856346845626831
1,site.06.subj.06TB_0434.lab.06MIL1025.iso.1,0.015585541725158691
2,site.06.subj.SSM_0098-14.lab.06MIL0016.iso.1,0.865653395652771
3,site.06.subj.06TB_0428.lab.06MIL1019.iso.1,0.2998603582382202
4,site.06.subj.PIMS_0043-14.lab.06MIL0244.iso.1,0.856346845626831
5,site.06.subj.06TB_0413.lab.06MIL1004.iso.1,0.2826581597328186
6,site.06.subj.06TB_0390.lab.06MIL0986.iso.1,0.856346845626831
7,site.06.subj.06TB_0399.lab.06MIL0990.iso.1,0.015585541725158691
8,site.06.subj.06TB_0293.lab.06MIL0884.iso.1,0.015585541725158691
9,site.06.subj.06TB_0291.lab.06MIL0882.iso.1,0.8563848733901978
10,site.06.subj.06TB_0290.lab.06MIL0881.iso.1,0.856346845626831
11,site.06.subj.06TB_0286.lab.06MIL0877.iso.1,0.856346845626831
12,site.06.subj.06TB_0274.lab.06MIL0865.iso.1,0.856346845626831
13,site.06.subj.06TB_0272.lab.06MIL0863.iso.1,0.856346845626831
14,site.06.subj.06TB_0007.lab.06MIL0861.iso.1,0.8597402572631836
15,site.06.subj.06TB_0265.lab.06MIL0856.iso.1,0.8772202134132385
16,site.06.subj.06TB_0264.lab.06MIL0855.iso.1,0.05919179320335388
17,site.06.subj.06TB_0260.lab.06MIL0851.iso.1,0.856346845626831
18,site.06.subj.SGD_0046-14.lab.06MIL0850.iso.1,0.856346845626831
19,site.06.subj.06TB_0005.lab.06MIL0466.iso.1,0.856346845626831
20,site.06.subj.RLH_0332-14.lab.06MIL0451.iso.1,0.8333944082260132
21,site.06.subj.JHL_0101-14.lab.06MIL0442.iso.1,0.8772202134132385
22,site.06.subj.BVH_0794-R.lab.06MIL0438.iso.1,0.856346845626831
23,site.06.subj.JHL_0100-14.lab.06MIL0428.iso.1,0.856346845626831
24,site.06.subj.NHM_0233-14.lab.06MIL0426.iso.1,0.8566217422485352
25,site.06.subj.SGD_0067-14.lab.06MIL0424.iso.1,0.856346845626831
26,site.06.subj.NHM_0310-14.lab.06MIL0423.iso.1,0.856346845626831
27,site.06.subj.JHL_0096-14.lab.06MIL0419.iso.1,0.856346845626831
28,site.06.subj.NHM_0313-14.lab.06MIL0413.iso.1,0.856346845626831
29,site.06.subj.RLH_0708-R.lab.06MIL0403.iso.1,0.5478845238685608
30,site.06.subj.SZH_0047-14.lab.06MIL0397.iso.1,0.856346845626831
31,site.06.subj.MHL_0230-14.lab.06MIL0396.iso.1,0.547884464263916
32,site.06.subj.MHL_0229-14.lab.06MIL0395.iso.1,0.856346845626831
33,site.06.subj.PIMS_0056-14.lab.06MIL0374.iso.1,0.856346845626831
34,site.06.subj.RLH_0315-14.lab.06MIL0370.iso.1,0.8549032211303711
35,site.06.subj.NHM_0295-14.lab.06MIL0369.iso.1,0.006972759962081909
36,site.06.subj.SGD_0063-14.lab.06MIL0365.iso.1,0.8541263341903687
37,site.06.subj.NHM_0287-14.lab.06MIL0363.iso.1,0.856346845626831
38,site.06.subj.MHL_0222-14.lab.06MIL0359.iso.1,0.856346845626831
39,site.06.subj.RLH_0312-14.lab.06MIL0354.iso.1,0.856346845626831
40,site.06.subj.RLH_0313-14.lab.06MIL0353.iso.1,0.8564424514770508
