,0
242,1479149361993T894515lib5728nextseqn0051151bp
243,1479149361993T894615lib5729nextseqn0051151bp
244,1479149361993T894715lib5730nextseqn0051151bp
245,1479149361993T894815lib5731nextseqn0051151bp
246,1479149361993T895015lib5732nextseqn0051151bp
247,1479149361993T895115lib5733nextseqn0051151bp
248,1479149361993T895215lib5734nextseqn0051151bp
249,1479149361993T895315lib5735nextseqn0051151bp
250,1479149361993T895415lib5736nextseqn0051151bp
251,1479150601544T895515lib5737nextseqn0051151bp
252,1479150601544T895615lib5738nextseqn0051151bp
253,1479150601544T895715lib5739nextseqn0051151bp
254,1479150601544T895915lib5741nextseqn0051151bp
255,1479150601544T896015lib5742nextseqn0051151bp
256,1479150601544T896215lib5744nextseqn0051151bp
257,1479150601544T896315lib5745nextseqn0051151bp
258,1479150601544T896415lib5746nextseqn0051151bp
259,1479150601544T896515lib5747nextseqn0051151bp
260,1479150601544T896615lib5748nextseqn0051151bp
261,1479150601544T896715lib5749nextseqn0051151bp
262,1479150601544T896815lib5750nextseqn0051151bp
263,1479150601544T896915lib5751nextseqn0051151bp
264,1479150601544T897115lib5752nextseqn0051151bp
265,1479150601544T897315lib5754nextseqn0051151bp
266,1479150601544T897415lib5755nextseqn0051151bp
267,1479150601544T897515lib5756nextseqn0051151bp
268,1479150601544T897615lib5757nextseqn0051151bp
269,1479150601544T897715lib5758nextseqn0051151bp
270,1479150601544T897915lib5759nextseqn0051151bp
271,1479150601544T898015lib5760nextseqn0051151bp
272,1479150601544T898115lib5761nextseqn0051151bp
273,1479150601544T898315lib5762nextseqn0051151bp
274,1479151773189T1375914lib3391nextseqn0004151bp
275,1479151773189T1376214lib3393nextseqn0004151bp
276,1479151773189T1376414lib3395nextseqn0004151bp
277,1479151773189T1376514lib3396nextseqn0004151bp
278,1479151773189T1376714lib3398nextseqn0004151bp
279,1479151773189T1376814lib3399nextseqn0004151bp
280,1479151773189T1376914lib3400nextseqn0004151bp
281,1479151773189T1377014lib3401nextseqn0004151bp
282,1479151773189T1377114lib3402nextseqn0004151bp
283,1479151773189T1377214lib3403nextseqn0004151bp
284,1479151773189T1377614lib3407nextseqn0004151bp
285,1479151773189T1377714lib3408nextseqn0004151bp
286,1479151773189T1377814lib3409nextseqn0004151bp
287,1479151773189T1377914lib3410nextseqn0004151bp
288,1479151773189T1378114lib3412nextseqn0004151bp
289,1479151773189T1378314lib3414nextseqn0004151bp
290,1479151773189T1378414lib3415nextseqn0004151bp
291,1479151773189T1378514lib3416nextseqn0004151bp
292,1479151773189T1378614lib3417nextseqn0004151bp
293,1479151773189T1378914lib3420nextseqn0004151bp
294,1479151773189T1379114lib3422nextseqn0004151bp
295,1479151773189T1379214lib3423nextseqn0004151bp
296,1479151773189T898415lib5763nextseqn0051151bp
297,1479151773189T898515lib5764nextseqn0051151bp
298,1479151773189T898615lib5765nextseqn0051151bp
299,1479151773189T898715lib5766nextseqn0051151bp
300,1479151773189T898815lib5767nextseqn0051151bp
301,1479151773189T898915lib5768nextseqn0051151bp
302,1479151773189T899015lib5769nextseqn0051151bp
303,1479151773189T899115lib5770nextseqn0051151bp
304,1479151773189T899215lib5771nextseqn0051151bp
305,1479153938227T1379514lib3426nextseqn0004151bp
306,1479153938227T1379614lib3427nextseqn0004151bp
307,1479153938227T1379714lib3428nextseqn0004151bp
308,1479153938227T1379814lib3429nextseqn0004151bp
309,1479153938227T1379914lib3430nextseqn0004151bp
310,1479153938227T1380014lib3431nextseqn0004151bp
311,1479153938227T1380214lib3433nextseqn0004151bp
312,1479153938227T1380314lib3434nextseqn0004151bp
313,1479153938227T1380414lib3435nextseqn0004151bp
314,1479153938227T1380514lib3436nextseqn0004151bp
315,1479153938227T1380714lib3437nextseqn0004151bp
316,1479153938227T1380814lib3438nextseqn0004151bp
317,1479153938227T1380914lib3439nextseqn0005151bp
318,1702
319,1719
320,1726
321,1727
322,1728
323,1738
324,1739
325,1741
326,1742
327,1744
328,1745
329,1753
330,1756
331,1759
332,1760
333,1761
334,1762
335,1763
336,1766
337,1767
338,1768
339,1770
340,1774
341,1777
342,1778
343,1780
344,1782
345,1784
346,1785
347,1786
348,1788
349,1789
350,1791
351,1793
352,1795
353,1796
354,1803
355,1806
356,1807
357,1808
358,1809
359,1810
360,1815
361,1821
362,1824
363,1828
364,1830
365,1831
366,1832
367,1833
368,1834
369,1836
370,1837
371,1841
372,1851
373,1852
374,1853
375,1854
376,98R454
377,98R660
378,98R790
379,9910364
380,99R1043
381,99R1083
382,99R141
383,99R576
384,99R887
385,99R890
386,IDR1100019254
387,IDR1100020842
388,IDR1100023189
389,IDR1200001956
390,IDR1200002066
391,IDR1200003374
392,IDR1200008928
393,IDR1200010128
394,IDR1200022433
395,IDR1200022434
396,IDR1200023774
397,IDR1200028162
398,IDR1200030168
399,IDR1300005060
400,IDR1300010061
401,IDR1300016371
402,IDR1300017766
403,IDR1300018388
404,IDR1300019614
405,IDR1300021110
406,IDR1300022959
407,IDR1300023467
408,IDR1300033719
409,IDR1300038288
410,IDR1400001909
411,IDR1400002530
412,IDR1400002533
413,IDR1400003506
414,IDR1400004223
415,IDR1400006549
416,IDR1400007566
417,IDR1400008041
418,IDR1400009529
419,IDR1400011176
420,IDR1400014851
421,IDR1400026616
422,IDR1400026773
423,IDR1400028307
424,IDR1400029413
425,IDR1400029458
426,IDR1400032120
427,IDR1400032281
428,IDR1400032735
429,IDR1400033739
430,IDR1400033866
431,IDR1400034450
432,IDR1400036339
433,IDR1400036823
434,IDR1500000665
435,IDR1500003469
436,IDR1500006146
437,IDR1500007955
438,IDR1500008439
439,IDR1500009074
440,IDR1500009344
441,IDR1500010219
442,IDR1500045314
443,IDR1500045852
444,IDR1500047122
445,IDR1500048671
446,IDR1500048830
447,IDR1500049548
448,IDR1500049762
449,IDR1500049950
450,IDR1500050467
451,IDR1500051244
452,IDR1500051248
453,IDR1500051477
454,IDR1500051828
455,IDR1500052024
456,IDR1500052246
457,IDR1500052248
458,IDR1500052791
459,IDR1500052794
460,IDR1500052969
461,IDR1500053361
462,IDR1500053362
463,IDR1500053652
464,IDR1500053660
465,IDR1500054144
466,IDR1500054145
467,IDR1500054147
468,IDR1500054148
469,IDR1500054445
470,IDR1500054922
471,IDR1500055140
472,IDR1500055141
473,IDR1500055344
474,IDR1500055398
475,IDR1500056763
476,IDR1500056764
477,IDR1500056766
478,IDR1500056767
479,IDR1500057022
480,IDR1500057177
481,IDR1500057631
482,IDR1500057969
483,IDR1500057970
484,IDR1500058176
485,IDR1500058475
486,IDR1500059313
487,IDR1500059320
488,IDR1500059803
489,IDR1500059889
490,IDR1500060570
491,IDR1500061013
492,IDR1500061127
493,IDR1500061133
494,IDR1500061876
495,IDR1500061908
496,IDR1500061909
497,IDR1500061962
498,IDR1500062006
499,IDR1500062042
500,IDR1500062168
501,IDR1500062169
502,IDR1500062183
503,IDR1500062349
504,IDR1500062350
505,IDR1500062509
506,IDR1500062511
507,IDR1500062635
508,IDR1500062818
509,IDR1500062826
510,IDR1500063002
511,IDR1500063136
512,IDR1500063304
513,IDR1500063732
514,IDR1500065550
515,IDR1500065702
516,IDR1500065704
517,IDR1500066192
518,IDR1500066354
519,IDR1500066660
520,IDR1500066661
521,IDR1500066750
522,IDR1500066946
523,IDR1500067319
524,IDR1500067320
525,IDR1500067323
526,IDR1500067462
527,IDR1500067984
528,IDR1500068120
529,IDR1500068721
530,IDR1500068895
531,IDR1500068896
532,IDR1500069348
533,IDR1500069613
534,IDR1500069614
535,IDR1500069726
536,IDR1500070283
537,IDR1500070812
538,IDR1500070900
539,IDR1500071331
540,IDR1500071800
541,IDR1500071801
542,IDR1500071802
543,IDR1500072113
544,IDR1500072159
545,IDR1500072206
546,IDR1500072381
547,IDR1500072503
548,IDR1500072738
549,IDR1600000081
550,IDR1600000150
551,IDR1600000287
552,IDR1600000436
553,IDR1600000553
554,IDR1600000568
555,IDR1600000642
556,IDR1600000643
557,IDR1600000726
558,IDR1600000941
559,IDR1600001077
560,IDR1600001203
561,IDR1600001648
562,IDR1600001649
563,IDR1600001950
564,IDR1600001953
565,IDR1600002109
566,IDR1600002325
567,IDR1600002326
568,IDR1600002328
569,IDR1600003443
570,IDR1600003497
571,IDR1600003653
572,IDR1600003708
573,IDR1600003836
574,IDR1600003837
575,IDR1600004178
576,IDR1600004382
577,IDR1600004865
578,IDR1600004867
579,IDR1600005536
580,IDR1600005538
581,IDR1600005546
582,IDR1600005548
583,IDR1600005829
584,IDR1600006792
585,IDR1600007779
586,IDR1600009864
587,IDR1600009867
588,IDR1600010492
589,IDR1600010494
590,IDR1600010936
591,IDR1600011801
592,IDR1600012094
593,IDR1600012207
594,IDR1600012456
595,IDR1600012753
596,IDR1600012758
597,IDR1600012759
598,IDR1600012974
599,IDR1600014124
600,IDR1600014409
601,IDR1600015259
602,IDR1600015741
603,IDR1600016611
604,IDR1600016942
605,IDR1600017091
606,IDR1600017097
607,IDR1600017137
608,IDR1600017466
609,IDR1600017477
610,IDR1600017794
611,IDR1600017905
612,IDR1600017938
613,IDR1600018162
614,IDR1600018194
615,IDR1600018197
616,IDR1600018201
617,IDR1600018864
618,IDR1600019639
619,IDR1600019640
620,IDR1600019997
621,IDR1600020177
622,IDR1600020192
623,IDR1600020523
624,IDR1600020570
625,IDR1600020737
626,IDR1600020953
627,IDR1600020957
628,IDR1600021226
629,IDR1600021320
630,IDR1600021878
631,IDR1600022106
632,IDR1600022505
633,IDR1600022826
634,IDR1600022827
635,IDR1600022912
636,IDR1600023111
637,IDR1600023647
638,IDR1600023714
639,IDR1600023715
640,IDR1600023875
641,IDR1600024367
642,IDR1600024547
643,IDR1600025151
644,IDR1600025154
645,IDR1600025156
646,IDR1600025158
647,IDR1600025163
648,IDR1600025428
649,IDR1600025432
650,IDR1600025436
651,IDR1600025442
652,IDR1600026227
653,IDR1600026421
654,IDR1600026642
655,IDR1600026643
656,IDR1600026645
657,IDR1600026772
658,IDR1600027139
659,IDR1600027315
660,IDR1600027328
661,IDR1600027999
662,IDR1600028000
663,IDR1600028279
664,IDR1600028520
665,IDR1600028710
666,IDR1600028711
667,IDR1600028712
668,IDR1600029540
669,IDR1600029939
670,IDR1600030763
671,IDR1600031131
